Báo cáo Sản phẩm - Shopee Việt Nam
Tên đăng nhập,riversong_mall
Tên gian hàng,Riversong Việt Nam
Mã Người bán,1418202003
Tên Quảng cáo,Đồng hồ thời trang chạy bộ GPS độc lập RIVERSONG smart watch chống nước đo calo sức khoẻ Motive 10GT [3]
Mã sản phẩm,29028469936
,
Thời gian tạo báo cáo,29/07/2025 09:58
Khoảng thời gian,23/07/2025 - 29/07/2025

Tìm kiếm
Thứ tự,Từ khóa,Loại từ khóa,Lệnh tìm kiếm,Phương thức đấu thầu,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp
83,calo,Từ khóa mở rộng,coros dura,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,9,0.00,0.00,0.00%,0.00%
84,dây đồng hồ redmi watch 3,Từ khóa mở rộng,smatch watch,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,5,0.00,0.00,0.00%,0.00%
85,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ y101,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,3,0.00,0.00,0.00%,0.00%
86,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ gps chạy bộ,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,2,0.00,0.00,0.00%,0.00%
87,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ raga,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,10,0.00,0.00,0.00%,0.00%
88,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ withing,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,9,0.00,0.00,0.00%,0.00%
89,dây đồng hồ redmi watch 3,Từ khóa mở rộng,mibro lite 3 pro,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,18,0.00,0.00,0.00%,0.00%
90,chống nước đồng hồ,Từ khóa mở rộng,smart watch supercalla explorer,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,5,0.00,0.00,0.00%,0.00%
91,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ thể thao,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,6,0.00,0.00,0.00%,0.00%
92,chống nước đồng hồ,Từ khóa mở rộng,xiaomi watch s1 pro,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,2,0.00,0.00,0.00%,0.00%
93,đòng hồ,Từ khóa mở rộng,đònghồ định vị d36,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,27,0.00,0.00,0.00%,0.00%
94,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ đo km chạy bộ,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,8,0.00,0.00,0.00%,0.00%
95,dong ho,Từ khóa mở rộng,smart watch,Giá thầu Thủ công,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,21,0.00,0.00,0.00%,0.00%
